date,day_idx,cash,n_open_positions,realized_dollars_so_far,nav,log_ret
2025-03-17,3433,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-03-18,3434,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-03-19,3435,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-03-20,3436,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-03-21,3437,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-03-24,3438,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-03-25,3439,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-03-26,3440,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-03-27,3441,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-03-28,3442,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-03-31,3443,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-01,3444,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-02,3445,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-03,3446,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-04,3447,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-07,3448,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-08,3449,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-09,3450,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-10,3451,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-11,3452,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-14,3453,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-15,3454,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-16,3455,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-17,3456,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-21,3457,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-22,3458,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-23,3459,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-24,3460,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-04-25,3461,57048.77432367273,2,0.0,114097.54864734548,0.0
2025-04-28,3462,57048.77432367273,2,0.0,115725.57458203606,0.01416787957943786
2025-04-29,3463,28217.241215651095,3,0.0,115326.13243208655,-0.0034576030885579735
2025-04-30,3464,28217.241215651095,3,0.0,116823.6384571615,0.012901385087786942
2025-05-01,3465,28217.241215651095,3,0.0,116786.35632377796,-0.0003191826936602243
2025-05-02,3466,28217.241215651095,3,0.0,118354.42248933091,0.013337451873406153
2025-05-05,3467,28217.241215651095,3,0.0,120334.88292101565,0.016594843893797666
2025-05-06,3468,28217.241215651095,3,0.0,120536.14823093385,0.0016711462212422937
2025-05-07,3469,28217.241215651095,3,0.0,120443.79298371018,-0.0007664974211534329
2025-05-08,3470,0.0,4,0.0,120818.4350186248,0.003105685785495965
2025-05-09,3471,63660.9051304669,2,0.0,122224.96483820929,0.011574439156421189
2025-05-12,3472,63660.9051304669,2,0.0,121946.94424671277,-0.002277253863370429
2025-05-13,3473,93509.55320947144,1,0.0,122717.07474482126,0.006295433589267278
2025-05-14,3474,93509.55320947144,1,0.0,122822.17912369684,0.0008561106514669634
2025-05-15,3475,93509.55320947144,1,0.0,122858.30875393795,0.00029411884365485475
2025-05-16,3476,93509.55320947144,1,0.0,123084.94007087743,0.0018429567159764337
2025-05-19,3477,93509.55320947144,1,0.0,123203.18249711036,0.0009601960020220151
2025-05-20,3478,93509.55320947144,1,0.0,122887.86936050036,-0.002562574354324274
2025-05-21,3479,93509.55320947144,1,0.0,122646.4577402713,-0.0019664191224955476
2025-05-22,3480,121943.57220655237,0,0.0,121943.57220655237,-0.005747474406588825
2025-05-23,3481,121943.57220655237,0,0.0,121943.57220655237,0.0
2025-05-27,3482,121943.57220655237,0,0.0,121943.57220655237,0.0
2025-05-28,3483,121943.57220655237,0,0.0,121943.57220655237,0.0
2025-05-29,3484,121943.57220655237,0,0.0,121943.57220655237,0.0
2025-05-30,3485,121943.57220655237,0,0.0,121943.57220655237,0.0
2025-06-02,3486,121943.57220655237,0,0.0,121943.57220655237,0.0
