date,ORCL,QCOM,MU,INTC,MSFT,JDSU
2000-11-21,18.9630877365,26.7136057342,33.6366157551,24.2433701016,20.6052052679,531.04
2000-11-22,17.7163520687,24.1002518475,35.0405788475,23.4244526034,20.7572732034,496.0
2000-11-24,19.1616125244,25.7977106805,39.8569522339,24.9883575478,21.2712628256,528.0
2000-11-27,18.3675133729,27.3058845356,36.2007983475,24.9883575478,21.499364729,496.48
2000-11-28,17.9942867717,25.4832533787,32.6616413854,23.9021544774,20.3771033645,480.72
2000-11-29,18.1689885851,25.2268027636,33.4513706249,24.3116132264,19.7870797746,460.0
2000-11-30,21.0436275133,24.5001926876,30.711692646,21.6444444304,17.4513162844,400.48
2000-12-01,20.9959815642,25.3397631536,30.1657069989,19.4094820917,17.2232143811,449.52
2000-12-04,22.3856550792,27.4768516123,30.4094505914,18.7327377703,17.1654285656,468.48
2000-12-05,25.0141232705,30.4168747348,32.3009008686,20.4729374538,18.2116559622,544.96
2000-12-06,23.9738533821,30.340550147,31.1991798308,18.0559934489,17.2414625334,524.96
2000-12-07,22.4809469774,31.8731478703,29.8634649443,18.3744613648,16.1587388322,536.0
2000-12-08,23.8706204924,31.5373196839,33.8218608854,19.3355520397,16.5571568234,596.48
2000-12-11,25.3635268971,30.3771859492,36.5615388643,21.291854952,17.6581286768,574.0
2000-12-12,24.4185489069,27.4188449256,35.3428209021,20.7572838074,17.7554521556,531.04
2000-12-13,22.536533918,27.8767924525,33.5196188308,20.1885911003,17.4117786212,517.52
2000-12-14,21.8377266647,26.8845728109,34.0656044778,19.9781747987,16.8795408468,492.0
2000-12-15,22.6794717653,24.2895368253,34.9820803853,18.4483914167,14.9604435,465.36
2000-12-18,25.4111728462,26.0846911306,35.0990773097,18.9090325095,14.5407359979,473.52
2000-12-19,24.3232570088,25.4740944281,33.8803593476,19.0170841238,13.6283283846,414.0
2000-12-20,22.6318258162,23.5476618318,29.0639859612,18.1640450632,12.6216386512,368.0
