n,total,annualized,max_dd,mean_month,turnover_month,spy_total,by_year,2020,2022,rotation,floor,cap,step,cost_bps,block,overlay,mean_theme_turnover,mean_exposure
71,0.9773835496899197,0.1221309351038018,-0.17386233312542854,0.010663871222928459,,1.0328464184664052,"{'2014': 0.19315471613489343, '2015': 0.04513415371481688, '2016': 0.06381937660294468, '2017': 0.1746800308931209, '2018': -0.11783792913299229, '2019': 0.43842178224455575}",,,price_plus_capex,0.15,0.5,0.05,50,2014_2019,False,0.025627142032838134,
36,0.656897924360121,0.1833101360501257,-0.4542722957254647,0.02148060900467484,,0.24705270054961392,"{'2020': 1.2382738915072342, '2021': 0.2133834390554381, '2022': -0.3899232675664267}",1.2382738915072342,-0.3899232675664267,price_plus_capex,0.15,0.5,0.05,50,2020_2022,False,0.020344134494839253,
43,3.374807236626304,0.5096360467141245,-0.19364022110003265,0.041555948017097624,,1.0430458054963405,"{'2023': 0.8450622806232297, '2024': 0.7189498171347775, '2025': 0.18870053792716623, '2026': 0.16041206074991954}",,,price_plus_capex,0.15,0.5,0.05,50,2023_2026,False,0.014719713637737301,
71,0.9594505128397708,0.12040441418693426,-0.17473972498357904,0.010533960872227252,,1.0328464184664052,"{'2014': 0.1926191981972727, '2015': 0.04365071502863849, '2016': 0.06156564368588047, '2017': 0.17406387029421122, '2018': -0.11948921907243426, '2019': 0.43451162607148097}",,,price_plus_capex,0.15,0.5,0.05,100,2014_2019,False,0.025627142032838134,
36,0.6508169537014679,0.18186074176596634,-0.45477916973376376,0.02137542757766714,,0.24705270054961392,"{'2020': 1.2353842976896474, '2021': 0.2120412843197721, '2022': -0.390702618786678}",1.2353842976896474,-0.390702618786678,price_plus_capex,0.15,0.5,0.05,100,2020_2022,False,0.020344134494839253,
43,3.361240122419038,0.5083280709843667,-0.19372262907974203,0.04148329971748161,,1.0430458054963405,"{'2023': 0.8417169677873875, '2024': 0.7186092944823423, '2025': 0.18811811034456993, '2026': 0.15971249811090638}",,,price_plus_capex,0.15,0.5,0.05,100,2023_2026,False,0.014719713637737301,
71,0.9653631024621367,0.12097510031242087,-0.17512439982530947,0.010579575474549536,,1.0328464184664052,"{'2014': 0.19497845601437058, '2015': 0.040393556056235846, '2016': 0.07144057448369567, '2017': 0.17794220968473518, '2018': -0.12131767918540137, '2019': 0.4254799323666001}",,,price_plus_capex,0.15,0.5,0.1,0,2014_2019,False,0.032838821504247856,
36,0.681232828378949,0.1890751065821057,-0.4538645255342142,0.02193462502536746,,0.24705270054961392,"{'2020': 1.2463641434615176, '2021': 0.22492042899819364, '2022': -0.3890019481020355}",1.2463641434615176,-0.3890019481020355,price_plus_capex,0.15,0.5,0.1,0,2020_2022,False,0.02178240469445851,
43,3.580128453268915,0.5290826988364112,-0.19355781066903865,0.04270398577746961,,1.0430458054963405,"{'2023': 0.8960363241925406, '2024': 0.7192903744736818, '2025': 0.20060703438802152, '2026': 0.1702560356139733}",,,price_plus_capex,0.15,0.5,0.1,0,2023_2026,False,0.014958430464119677,
71,0.9537364065759499,0.11985152441753821,-0.1757706627235972,0.010494506161924596,,1.0328464184664052,"{'2014': 0.19470595071453123, '2015': 0.03937289326193305, '2016': 0.07009036920018064, '2017': 0.1776368340633092, '2018': -0.12231684916496921, '2019': 0.4225382690363191}",,,price_plus_capex,0.15,0.5,0.1,25,2014_2019,False,0.032838821504247856,
36,0.6780639965111668,0.18832757004463163,-0.4541017360037394,0.021880173814625065,,0.24705270054961392,"{'2020': 1.2445212658334013, '2021': 0.22434136447829767, '2022': -0.38936418544474716}",1.2445212658334013,-0.38936418544474716,price_plus_capex,0.15,0.5,0.1,25,2020_2022,False,0.02178240469445851,
43,3.5730458878484628,0.5284224632489873,-0.19359901619094777,0.04266706483559566,,1.0430458054963405,"{'2023': 0.8942019552751106, '2024': 0.719236959030213, '2025': 0.2001340443562416, '2026': 0.1700752266003942}",,,price_plus_capex,0.15,0.5,0.1,25,2023_2026,False,0.014958430464119677,
