gamma,min_child_weight,max_depth,n_estimators,auc_train,auc_val,ap_train,ap_val,train_s,a_n,a_avg_pnl_pct,a_hit_pct,a_sharpe,a_recall_pct,b_n,b_avg_pnl_pct,b_hit_pct,b_sharpe,b_recall_pct,c_n,c_avg_pnl_pct,c_hit_pct,c_sharpe,c_recall_pct
3,100,2,300,0.7016843530492929,0.646243157658995,0.24446849090806572,0.20524130267223317,0.613990306854248,253,0.9579352610379085,54.1501976284585,0.8929506662372588,15.919282511210762,120,1.5699102686439714,55.833333333333336,1.4579313592162015,10.538116591928251,40,1.3458163180363845,52.5,1.1282557467504997,4.0358744394618835
20,20,4,500,0.6669779927966363,0.6368722103300469,0.2193517715755332,0.20283602991236188,0.552471399307251,92,1.2466263857760875,55.434782608695656,1.1678756767355125,7.174887892376682,44,1.5511607582535412,52.27272727272727,1.3328861765219526,4.708520179372197,9,3.0478906589708075,66.66666666666666,2.8677382643061184,0.8968609865470852
3,100,3,200,0.7090652764177953,0.6469312979484696,0.2499751131417749,0.20663861545301931,0.2971923351287842,257,1.0651212430268506,56.03112840466926,1.0181325913636272,16.143497757847534,126,1.544789808439369,57.14285714285714,1.4192947511166,11.210762331838566,48,1.1553162529869654,50.0,0.9484333093247512,4.484304932735426
10,50,4,300,0.6855938126707933,0.6381687395509444,0.22797582787020432,0.2035974892143979,0.3572380542755127,167,1.2624149946932102,56.886227544910184,1.184146770936752,12.10762331838565,85,1.5360587848349976,55.294117647058826,1.3530557046231464,8.74439461883408,24,2.175914419519867,58.333333333333336,1.554224926241855,2.690582959641256
10,20,3,300,0.6916590893313221,0.6403493695411009,0.23816627148421426,0.20570344268109783,0.35500574111938477,173,1.6230774121926417,58.95953757225434,1.5213193848825204,12.780269058295964,82,1.5325219204439842,53.65853658536586,1.4956503092424116,8.071748878923767,21,0.7643637531103319,52.38095238095239,0.718592998809371,2.242152466367713
10,100,3,200,0.6717755019610452,0.6385909334749977,0.21403326523615654,0.2007534328684078,0.2301008701324463,134,1.3264359810047663,56.71641791044776,1.3009687962407122,9.641255605381167,69,1.50883078407242,55.072463768115945,1.3999339640551085,6.950672645739911,15,-0.20503033642374166,40.0,-0.17287409558418254,1.5695067264573992
5,100,4,300,0.699268303694746,0.6461747993520934,0.23881002054789505,0.2051844142442806,0.3648371696472168,254,0.8639867138660258,55.51181102362205,0.8340554738859707,16.367713004484305,123,1.4922999047871657,58.536585365853654,1.3933250732555567,11.434977578475337,48,0.9280969786734835,50.0,0.8119414068891408,4.708520179372197
20,50,2,500,0.6623931183069232,0.6363438982724229,0.21151053819112636,0.2009731260876009,0.5290887355804443,77,1.4375723899750363,58.44155844155844,1.2909286582224684,5.605381165919283,36,1.481870637479814,55.55555555555556,1.2023729261496634,3.3632286995515694,5,3.3052651030660773,60.0,3.5704592113964786,0.672645739910314
10,100,3,500,0.6725499436615205,0.6383161981844033,0.2149275919341337,0.20010626062475473,0.5416054725646973,169,1.076340246911141,55.62130177514793,1.050178623734626,11.883408071748878,87,1.4792951810652053,56.32183908045977,1.3897944361908503,8.520179372197308,19,0.4095292046720527,52.63157894736842,0.3850258728671675,2.0179372197309418
5,100,2,300,0.6852051657603802,0.6477737327020933,0.22671593077640634,0.20599577901230598,0.3826754093170166,236,0.6789513981359981,52.96610169491526,0.6442546404221153,14.798206278026907,112,1.4680552210851654,56.25,1.3356067087513048,10.31390134529148,31,1.685943216458959,54.83870967741935,1.2858982534342176,3.1390134529147984
10,100,2,500,0.6692938234967141,0.6419352822612148,0.21368751449518653,0.20241860219309654,0.5274052619934082,159,0.9125252897673878,54.71698113207547,0.8537083544154033,11.434977578475337,77,1.4587291815648122,54.54545454545454,1.2992787409919135,7.847533632286996,18,0.8646247977012689,50.0,0.7569421143900089,1.7937219730941705
5,100,4,200,0.6951237783822384,0.6458961578725332,0.23556033566273465,0.20512539856258644,0.2579054832458496,239,0.8846534038304663,55.23012552301255,0.8464445861499397,15.695067264573993,116,1.4527198783765793,57.758620689655174,1.3352912525633274,10.762331838565023,39,0.8793917815462821,51.28205128205128,0.7176799189858464,4.0358744394618835
3,100,3,500,0.7377200441192676,0.6453297604724926,0.28142299463837606,0.2036801854185391,0.9110708236694336,304,1.1883575267151707,58.223684210526315,1.1359883353791325,18.609865470852018,149,1.4328743960646075,59.73154362416108,1.3503311758004084,12.556053811659194,68,1.620053561649455,57.35294117647059,1.492228789106468,6.278026905829597
10,50,4,500,0.6860508194445186,0.6405655119972083,0.2289594251601096,0.2049058987360725,0.5442724227905273,190,0.9080462741155984,55.78947368421052,0.856459509633183,13.228699551569505,95,1.3939413093728172,55.78947368421052,1.249321412165093,9.641255605381167,28,1.6913496009707703,57.14285714285714,1.2637644681959546,3.1390134529147984
10,100,4,200,0.6720791010699214,0.6388337682223715,0.21433712441012104,0.20043864501576186,0.2569553852081299,134,1.273101788013281,57.46268656716418,1.2722855334761718,9.641255605381167,69,1.3804516601342829,55.072463768115945,1.3132887713577452,7.174887892376682,17,0.04981303027975185,47.05882352941176,0.04471106599602045,1.5695067264573992
10,100,2,300,0.6685113715858906,0.6416224616282036,0.21263015546409908,0.20239869522307874,0.33495163917541504,146,0.7668592666969613,54.109589041095894,0.7136306418015961,10.31390134529148,71,1.376502875211698,53.52112676056338,1.221435514109498,6.950672645739911,15,-0.5867626837810883,40.0,-0.5112236760970914,1.345291479820628
5,50,2,300,0.6967208747538074,0.6460387337697849,0.24178382211221416,0.20888265885918017,0.33083200454711914,227,1.1598964128019846,53.30396475770925,1.008024003171594,14.798206278026907,104,1.3758965909276852,52.88461538461539,1.1973644249288646,9.641255605381167,35,1.6643427093132872,54.285714285714285,1.3351116292952647,3.811659192825112
20,20,4,200,0.6649481630160335,0.6353071306177507,0.2178234484341149,0.20073802799369378,0.2264118194580078,79,1.3703232259231428,54.43037974683544,1.254857264026391,5.605381165919283,37,1.372024162437638,48.64864864864865,1.0994615209075829,3.587443946188341,7,1.375913399108117,57.14285714285714,1.2455956418812664,0.672645739910314
3,100,3,300,0.7206717374534619,0.6458538408254038,0.2615166298410776,0.2056313007397184,0.6617410182952881,287,1.0352298476958228,56.09756097560976,1.0066379374160794,17.937219730941703,141,1.3691004217001745,56.73758865248227,1.2649613190361713,12.556053811659194,60,1.7099139705125646,55.00000000000001,1.4965418562429076,5.15695067264574
10,100,4,500,0.673574674093669,0.6386879371676485,0.215248507346921,0.19994297678736866,0.5715842247009277,177,0.9879086264938839,55.367231638418076,0.9367510540229609,12.331838565022421,87,1.3276881553763458,55.172413793103445,1.2477983890812723,8.74439461883408,22,2.4630921140917024,59.09090909090909,1.7425204529454157,2.690582959641256
10,100,4,300,0.67261839454995,0.6385147627901647,0.21473218223475138,0.19999782411354036,0.3591117858886719,156,1.1815187239513074,55.769230769230774,1.147624664598027,10.986547085201794,81,1.3198667617732796,55.55555555555556,1.25261167693291,8.295964125560538,19,0.4095292046720527,52.63157894736842,0.3850258728671675,2.0179372197309418
10,20,2,300,0.6846606535069429,0.641742902454649,0.2337037799659203,0.2032373072002134,0.35976719856262207,152,1.5060010056645363,59.210526315789465,1.4049892117727132,11.210762331838566,73,1.307430560193116,54.794520547945204,1.2377446353274328,7.174887892376682,18,3.3387794453220114,61.111111111111114,2.210331542364622,1.5695067264573992
